32
$  STRT 0.000000 0.000000
$ 128.206.19.23 NO_V 0.000000 1525456009.090074
$ 128.206.19.24 NO_V 0.000000 1525456009.101550
$ 128.206.19.23 NO_V 0.000000 1525456014.257656
$ 128.206.19.23 NO_V 0.000000 1525456014.420125
$ 128.206.19.23 NO_V 0.000000 1525456014.692912
$ 128.206.19.23 NO_V 0.000000 1525456014.763780
$ 128.206.19.23 NO_V 0.000000 1525456015.046503
$ 128.206.19.23 NO_V 0.000000 1525456015.117351
$ 128.206.19.23 NO_V 0.000000 1525456015.279077
$ 128.206.19.23 NO_V 0.000000 1525456015.400458
$ 128.206.19.23 NO_V 0.000000 1525456015.552067
$ 128.206.19.23 NO_V 0.000000 1525456015.703773
$ 128.206.19.23 NO_V 0.000000 1525456015.774658
$ 128.206.19.23 NO_V 0.000000 1525456015.916148
$ 128.206.19.23 NO_V 0.000000 1525456016.007247
$ 128.206.19.23 BTN1 0.003226 1525456031.847117
$ 128.206.19.23 BTN1 0.003226 1525456032.288488
$ 128.206.19.23 BTN2 0.003226 1525456032.693132
$ 128.206.19.23 BTN2 0.003226 1525456032.838728
$ 128.206.19.23 BTN2 0.003226 1525456033.994359
$ 128.206.19.23 BTN1 0.003226 1525456034.391144
$ 128.206.19.23 BTN1 0.003226 1525456034.786359
$ 128.206.19.23 BTN1 0.003226 1525456034.943823
$ 128.206.19.23 BTN1 0.003226 1525456035.085119
$ 128.206.19.24 BTN1 0.000000 1525456036.679116
$ 128.206.19.24 BTN2 0.000000 1525456037.385445
$ 128.206.19.23 SW_1 0.003226 1525456039.590578
$ 128.206.19.23 SW_1 0.003226 1525456040.161117
$ 128.206.19.23 SW_1 0.003226 1525456040.423200
$ 128.206.19.23 SW_1 0.003226 1525456040.818263
$ 128.206.19.23 SW_2 0.003226 1525456041.449493
$ 128.206.19.23 SW_2 0.003226 1525456041.869961
